# U/t eqp0 eqp1 eqp2 eqp3 eqp4 eqp5
8.599999999999999645e+00 -9.861549519117056573e-01 -1.970365601535280578e-02 -3.523753850100978319e-05 3.523753850646494642e-05 1.970365691160151297e-02 9.861549489043777150e-01
8.699999999999999289e+00 -9.861549519117059903e-01 -1.970365601535276762e-02 -2.519211402085728225e-05 2.519211402635938466e-05 1.970365691160174890e-02 9.861549489043772709e-01
8.800000000000000711e+00 -9.861549519117062124e-01 -1.970365601535280578e-02 -1.720589828933609581e-05 1.720589829491261176e-05 1.970365691160142971e-02 9.861549489043768268e-01
8.900000000000000355e+00 -9.861549519117066565e-01 -1.970365601535266700e-02 -1.123223936796538206e-05 1.123223937356698713e-05 1.970365691160158236e-02 9.861549489043762717e-01
9.000000000000000000e+00 -9.861549519117056573e-01 -1.970365601535284394e-02 -7.012120225317564671e-06 7.012120230955798827e-06 1.970365691160152338e-02 9.861549489043773820e-01
9.099999999999999645e+00 -9.861549519117058793e-01 -1.970365601535289946e-02 -4.188317078224963164e-06 4.188317083812567619e-06 1.970365691160152338e-02 9.861549489043774930e-01
9.199999999999999289e+00 -9.861549519117061013e-01 -1.970365601535281272e-02 -2.394670525165251721e-06 2.394670530836901327e-06 1.970365691160152338e-02 9.861549489043772709e-01
9.300000000000000711e+00 -9.861549519117061013e-01 -1.970365601535251782e-02 -1.311210976353070696e-06 1.311210981735818115e-06 1.970365691160150950e-02 9.861549489043774930e-01
9.400000000000000355e+00 -9.861549519117058793e-01 -1.970365601535292027e-02 -6.878922089258131688e-07 6.878922145490087840e-07 1.970365691160150950e-02 9.861549489043776040e-01
9.500000000000000000e+00 -9.861549519117055462e-01 -1.970365601535261149e-02 -3.459278652394718966e-07 3.459278706848637553e-07 1.970365691160148869e-02 9.861549489043774930e-01
9.599999999999999645e+00 -9.861549519117051021e-01 -1.970365601535283701e-02 -1.668247087207497443e-07 1.668247141354847279e-07 1.970365691160145399e-02 9.861549489043769379e-01
9.699999999999999289e+00 -9.861549519117065454e-01 -1.970365601535297578e-02 -7.718506740687299501e-08 7.718507297559343325e-08 1.970365691160146787e-02 9.861549489043779371e-01
9.800000000000000711e+00 -9.861549519117063234e-01 -1.970365601535257680e-02 -3.427590024835601904e-08 3.427590564816173588e-08 1.970365691160153726e-02 9.861549489043767158e-01
9.900000000000000355e+00 -9.861549519117054352e-01 -1.970365601535261496e-02 -1.461530783593242904e-08 1.461531348123281329e-08 1.970365691160148522e-02 9.861549489043771599e-01
1.000000000000000000e+01 -9.861549519117055462e-01 -1.970365601535272251e-02 -5.986428316113380572e-09 5.986433800215093375e-09 1.970365691160155461e-02 9.861549489043766048e-01
